Run,Episode,Total Steps,Episode Reward
1,639,197435,500.0
1,640,197935,500.0
1,641,198435,500.0
1,642,198935,500.0
1,643,199435,500.0
1,644,199935,500.0
1,645,200435,500.0
1,646,200935,500.0
1,647,201435,500.0
1,648,201935,500.0
1,649,202435,500.0
1,650,202935,500.0
1,651,203435,500.0
1,652,203935,500.0
1,653,204435,500.0
1,654,204935,500.0
1,655,205435,500.0
1,656,205935,500.0
1,657,206435,500.0
1,658,206935,500.0
1,659,207435,500.0
1,660,207935,500.0
1,661,208435,500.0
1,662,208935,500.0
1,663,209435,500.0
1,664,209935,500.0
1,665,210435,500.0
1,666,210935,500.0
1,667,211435,500.0
1,668,211935,500.0
1,669,212435,500.0
1,670,212935,500.0
1,671,213435,500.0
1,672,213935,500.0
1,673,214435,500.0
1,674,214935,500.0
1,675,215435,500.0
1,676,215935,500.0
1,677,216435,500.0
1,678,216935,500.0
1,679,217435,500.0
1,680,217935,500.0
1,681,218435,500.0
1,682,218935,500.0
1,683,219435,500.0
1,684,219935,500.0
1,685,220435,500.0
1,686,220935,500.0
1,687,221435,500.0
1,688,221935,500.0
1,689,222435,500.0
1,690,222935,500.0
1,691,223435,500.0
1,692,223935,500.0
1,693,224435,500.0
1,694,224935,500.0
1,695,225435,500.0
1,696,225935,500.0
1,697,226435,500.0
1,698,226935,500.0
1,699,227435,500.0
1,700,227935,500.0
1,701,228435,500.0
1,702,228935,500.0
1,703,229435,500.0
1,704,229935,500.0
1,705,230435,500.0
1,706,230935,500.0
1,707,231435,500.0
1,708,231935,500.0
1,709,232435,500.0
1,710,232935,500.0
1,711,233435,500.0
1,712,233935,500.0
1,713,234435,500.0
1,714,234935,500.0
1,715,235435,500.0
1,716,235935,500.0
1,717,236435,500.0
1,718,236935,500.0
1,719,237435,500.0
1,720,237935,500.0
1,721,238435,500.0
1,722,238935,500.0
1,723,239435,500.0
1,724,239935,500.0
1,725,240435,500.0
1,726,240935,500.0
1,727,241435,500.0
1,728,241935,500.0
1,729,242435,500.0
1,730,242935,500.0
1,731,243435,500.0
1,732,243935,500.0
1,733,244435,500.0
1,734,244935,500.0
1,735,245435,500.0
1,736,245935,500.0
1,737,246323,388.0
1,738,246823,500.0
1,739,247323,500.0
1,740,247823,500.0
1,741,248323,500.0
1,742,248823,500.0
1,743,249323,500.0
1,744,249823,500.0
1,745,250323,500.0
1,746,250823,500.0
1,747,251323,500.0
1,748,251823,500.0
1,749,252323,500.0
1,750,252823,500.0
1,751,253323,500.0
1,752,253823,500.0
1,753,254323,500.0
1,754,254823,500.0
1,755,255323,500.0
1,756,255823,500.0
1,757,256323,500.0
1,758,256823,500.0
1,759,257323,500.0
1,760,257823,500.0
1,761,258323,500.0
1,762,258823,500.0
1,763,259323,500.0
1,764,259823,500.0
1,765,260323,500.0
1,766,260823,500.0
1,767,261323,500.0
1,768,261823,500.0
1,769,262323,500.0
1,770,262823,500.0
1,771,263323,500.0
1,772,263823,500.0
1,773,264323,500.0
1,774,264823,500.0
1,775,265323,500.0
1,776,265823,500.0
1,777,266323,500.0
1,778,266823,500.0
1,779,267323,500.0
1,780,267823,500.0
1,781,268323,500.0
1,782,268823,500.0
1,783,269323,500.0
1,784,269823,500.0
1,785,270323,500.0
1,786,270823,500.0
1,787,271323,500.0
1,788,271823,500.0
1,789,272323,500.0
1,790,272823,500.0
1,791,273323,500.0
1,792,273823,500.0
1,793,274323,500.0
1,794,274823,500.0
1,795,275323,500.0
1,796,275823,500.0
1,797,276323,500.0
1,798,276823,500.0
1,799,277323,500.0
1,800,277823,500.0
1,801,278323,500.0
1,802,278823,500.0
1,803,279323,500.0
1,804,279766,443.0
1,805,280266,500.0
1,806,280766,500.0
1,807,281266,500.0
1,808,281766,500.0
1,809,282266,500.0
1,810,282766,500.0
1,811,283266,500.0
1,812,283766,500.0
1,813,284266,500.0
1,814,284766,500.0
1,815,285266,500.0
1,816,285766,500.0
1,817,286266,500.0
1,818,286766,500.0
1,819,287266,500.0
1,820,287766,500.0
1,821,288266,500.0
1,822,288766,500.0
1,823,289266,500.0
1,824,289766,500.0
1,825,290266,500.0
1,826,290766,500.0
1,827,291266,500.0
1,828,291766,500.0
1,829,292266,500.0
1,830,292766,500.0
1,831,293266,500.0
1,832,293766,500.0
1,833,294266,500.0
1,834,294766,500.0
1,835,295266,500.0
1,836,295766,500.0
1,837,296266,500.0
1,838,296766,500.0
1,839,297266,500.0
1,840,297766,500.0
1,841,298266,500.0
1,842,298766,500.0
1,843,299266,500.0
1,844,299766,500.0
1,845,300266,500.0
1,846,300766,500.0
1,847,301266,500.0
1,848,301766,500.0
1,849,302266,500.0
1,850,302766,500.0
1,851,303029,263.0
1,852,303529,500.0
1,853,304029,500.0
1,854,304067,38.0
1,855,304567,500.0
1,856,305067,500.0
1,857,305567,500.0
1,858,306067,500.0
1,859,306567,500.0
1,860,307067,500.0
1,861,307567,500.0
1,862,308067,500.0
1,863,308567,500.0
1,864,309067,500.0
1,865,309567,500.0
1,866,310067,500.0
1,867,310567,500.0
1,868,311067,500.0
1,869,311567,500.0
1,870,312067,500.0
1,871,312567,500.0
1,872,313067,500.0
1,873,313567,500.0
1,874,314067,500.0
1,875,314567,500.0
1,876,315067,500.0
1,877,315567,500.0
1,878,316067,500.0
1,879,316567,500.0
1,880,317067,500.0
1,881,317567,500.0
1,882,318067,500.0
1,883,318567,500.0
1,884,319067,500.0
1,885,319567,500.0
1,886,320067,500.0
1,887,320567,500.0
1,888,321067,500.0
1,889,321567,500.0
1,890,322067,500.0
1,891,322567,500.0
1,892,323067,500.0
1,893,323567,500.0
1,894,324067,500.0
1,895,324567,500.0
1,896,325067,500.0
1,897,325567,500.0
1,898,326067,500.0
1,899,326567,500.0
1,900,327067,500.0
1,901,327567,500.0
1,902,328067,500.0
1,903,328567,500.0
1,904,329067,500.0
1,905,329567,500.0
1,906,330067,500.0
1,907,330567,500.0
1,908,331067,500.0
1,909,331567,500.0
1,910,332067,500.0
1,911,332567,500.0
1,912,333067,500.0
1,913,333567,500.0
1,914,334067,500.0
1,915,334567,500.0
1,916,335067,500.0
1,917,335567,500.0
1,918,336067,500.0
1,919,336567,500.0
1,920,337067,500.0
1,921,337567,500.0
1,922,338067,500.0
1,923,338567,500.0
1,924,339067,500.0
1,925,339567,500.0
1,926,340067,500.0
1,927,340567,500.0
1,928,341067,500.0
1,929,341567,500.0
1,930,342067,500.0
1,931,342567,500.0
1,932,343067,500.0
1,933,343567,500.0
1,934,344067,500.0
1,935,344567,500.0
1,936,345067,500.0
1,937,345567,500.0
1,938,346067,500.0
1,939,346567,500.0
1,940,347067,500.0
1,941,347567,500.0
1,942,348067,500.0
1,943,348567,500.0
1,944,349067,500.0
1,945,349567,500.0
1,946,350067,500.0
1,947,350567,500.0
1,948,351067,500.0
1,949,351567,500.0
1,950,352067,500.0
1,951,352567,500.0
1,952,353067,500.0
1,953,353567,500.0
1,954,354067,500.0
1,955,354567,500.0
1,956,355067,500.0
1,957,355567,500.0
1,958,356067,500.0
1,959,356567,500.0
1,960,357067,500.0
1,961,357567,500.0
1,962,358067,500.0
1,963,358567,500.0
1,964,359067,500.0
1,965,359567,500.0
1,966,360067,500.0
1,967,360567,500.0
1,968,361067,500.0
1,969,361567,500.0
1,970,362067,500.0
1,971,362567,500.0
1,972,363067,500.0
1,973,363567,500.0
1,974,364067,500.0
1,975,364567,500.0
1,976,365067,500.0
1,977,365567,500.0
1,978,366067,500.0
1,979,366567,500.0
1,980,367067,500.0
1,981,367567,500.0
1,982,368067,500.0
1,983,368567,500.0
1,984,369067,500.0
1,985,369567,500.0
1,986,370067,500.0
1,987,370567,500.0
1,988,371067,500.0
1,989,371567,500.0
1,990,372067,500.0
1,991,372567,500.0
1,992,373067,500.0
1,993,373567,500.0
1,994,374067,500.0
1,995,374567,500.0
1,996,375067,500.0
1,997,375567,500.0
1,998,376067,500.0
1,999,376567,500.0
1,1000,377067,500.0
1,1001,377567,500.0
1,1002,378067,500.0
1,1003,378567,500.0
1,1004,379067,500.0
1,1005,379567,500.0
1,1006,380067,500.0
1,1007,380567,500.0
1,1008,381067,500.0
1,1009,381567,500.0
1,1010,382067,500.0
1,1011,382567,500.0
1,1012,383067,500.0
1,1013,383567,500.0
1,1014,384067,500.0
1,1015,384567,500.0
1,1016,385067,500.0
1,1017,385567,500.0
1,1018,386067,500.0
1,1019,386567,500.0
1,1020,387067,500.0
1,1021,387567,500.0
1,1022,388067,500.0
1,1023,388567,500.0
1,1024,389067,500.0
1,1025,389567,500.0
1,1026,390067,500.0
1,1027,390567,500.0
1,1028,391067,500.0
1,1029,391567,500.0
1,1030,392067,500.0
1,1031,392567,500.0
1,1032,393067,500.0
1,1033,393567,500.0
1,1034,394067,500.0
1,1035,394567,500.0
1,1036,395067,500.0
1,1037,395567,500.0
1,1038,396067,500.0
1,1039,396567,500.0
1,1040,396689,122.0
1,1041,397189,500.0
1,1042,397689,500.0
1,1043,398189,500.0
1,1044,398689,500.0
1,1045,399189,500.0
1,1046,399689,500.0
1,1047,400189,500.0
1,1048,400689,500.0
1,1049,401189,500.0
1,1050,401689,500.0
1,1051,402189,500.0
1,1052,402689,500.0
1,1053,403189,500.0
1,1054,403689,500.0
1,1055,404189,500.0
1,1056,404689,500.0
1,1057,405189,500.0
1,1058,405689,500.0
1,1059,406189,500.0
1,1060,406689,500.0
1,1061,407189,500.0
1,1062,407689,500.0
1,1063,408189,500.0
1,1064,408689,500.0
1,1065,409189,500.0
1,1066,409689,500.0
1,1067,410189,500.0
1,1068,410689,500.0
1,1069,411189,500.0
1,1070,411689,500.0
1,1071,412189,500.0
1,1072,412689,500.0
1,1073,413189,500.0
1,1074,413689,500.0
1,1075,414189,500.0
1,1076,414689,500.0
1,1077,415189,500.0
1,1078,415689,500.0
1,1079,416189,500.0
1,1080,416577,388.0
1,1081,417077,500.0
1,1082,417577,500.0
1,1083,418077,500.0
1,1084,418577,500.0
1,1085,419077,500.0
1,1086,419577,500.0
1,1087,420077,500.0
1,1088,420577,500.0
1,1089,421077,500.0
1,1090,421577,500.0
1,1091,422077,500.0
1,1092,422577,500.0
1,1093,423077,500.0
1,1094,423577,500.0
1,1095,424077,500.0
1,1096,424577,500.0
1,1097,425077,500.0
1,1098,425577,500.0
1,1099,426077,500.0
1,1100,426577,500.0
1,1101,426962,385.0
1,1102,427227,265.0
1,1103,427727,500.0
1,1104,428227,500.0
1,1105,428727,500.0
1,1106,429227,500.0
1,1107,429727,500.0
1,1108,430144,417.0
1,1109,430644,500.0
1,1110,431144,500.0
1,1111,431644,500.0
1,1112,432144,500.0
1,1113,432644,500.0
1,1114,433144,500.0
1,1115,433644,500.0
1,1116,434144,500.0
1,1117,434644,500.0
1,1118,435144,500.0
