Run ID,Total Steps,Episode Reward
1,15499,32.0
1,15689,190.0
1,15717,28.0
1,15752,35.0
1,15815,63.0
1,15871,56.0
1,16051,180.0
1,16066,15.0
1,16131,65.0
1,16170,39.0
1,16213,43.0
1,16233,20.0
1,16402,169.0
1,16418,16.0
1,16501,83.0
1,16520,19.0
1,16563,43.0
1,16579,16.0
1,16603,24.0
1,16641,38.0
1,16854,213.0
1,16867,13.0
1,16887,20.0
1,16905,18.0
1,16922,17.0
1,16996,74.0
1,17043,47.0
1,17247,204.0
1,17309,62.0
1,17342,33.0
1,17372,30.0
1,17463,91.0
1,17522,59.0
1,17547,25.0
1,17728,181.0
1,17757,29.0
1,17773,16.0
