Total Steps,Episode Reward
50467.0,162.0
50624.0,157.0
50716.0,92.0
50730.0,14.0
50819.0,89.0
50838.0,19.0
50972.0,134.0
50991.0,19.0
51124.0,133.0
51148.0,24.0
51197.0,49.0
51235.0,38.0
51391.0,156.0
51591.0,200.0
51791.0,200.0
51991.0,200.0
52191.0,200.0
52331.0,140.0
52454.0,123.0
52466.0,12.0
52484.0,18.0
52511.0,27.0
52711.0,200.0
52911.0,200.0
52959.0,48.0
53159.0,200.0
53192.0,33.0
53392.0,200.0
53472.0,80.0
53672.0,200.0
53872.0,200.0
54011.0,139.0
54211.0,200.0
54411.0,200.0
54468.0,57.0
54668.0,200.0
54779.0,111.0
54838.0,59.0
55004.0,166.0
55050.0,46.0
55076.0,26.0
55263.0,187.0
55356.0,93.0
55556.0,200.0
55756.0,200.0
55950.0,194.0
56057.0,107.0
56226.0,169.0
56417.0,191.0
56580.0,163.0
56627.0,47.0
56827.0,200.0
56954.0,127.0
57154.0,200.0
57354.0,200.0
57477.0,123.0
57555.0,78.0
57755.0,200.0
57955.0,200.0
58155.0,200.0
58326.0,171.0
58526.0,200.0
58647.0,121.0
58829.0,182.0
58893.0,64.0
59083.0,190.0
59277.0,194.0
59454.0,177.0
59476.0,22.0
59646.0,170.0
59834.0,188.0
59847.0,13.0
59990.0,143.0
60190.0,200.0
60229.0,39.0
60429.0,200.0
60534.0,105.0
60693.0,159.0
60893.0,200.0
61019.0,126.0
61166.0,147.0
61366.0,200.0
61411.0,45.0
61611.0,200.0
61717.0,106.0
61917.0,200.0
62117.0,200.0
62317.0,200.0
62517.0,200.0
62654.0,137.0
62820.0,166.0
62911.0,91.0
62924.0,13.0
63124.0,200.0
63324.0,200.0
63514.0,190.0
63714.0,200.0
63914.0,200.0
64114.0,200.0
64235.0,121.0
64435.0,200.0
64629.0,194.0
64829.0,200.0
65029.0,200.0
65046.0,17.0
65232.0,186.0
65244.0,12.0
65258.0,14.0
65458.0,200.0
65539.0,81.0
65732.0,193.0
65927.0,195.0
66113.0,186.0
66305.0,192.0
66444.0,139.0
66628.0,184.0
66763.0,135.0
66888.0,125.0
66904.0,16.0
66917.0,13.0
66935.0,18.0
66967.0,32.0
66980.0,13.0
67153.0,173.0
67353.0,200.0
67534.0,181.0
67734.0,200.0
67934.0,200.0
68134.0,200.0
68184.0,50.0
68384.0,200.0
68533.0,149.0
68733.0,200.0
68933.0,200.0
69133.0,200.0
69317.0,184.0
69517.0,200.0
69717.0,200.0
69873.0,156.0
70073.0,200.0
70193.0,120.0
70393.0,200.0
70531.0,138.0
70550.0,19.0
70720.0,170.0
70830.0,110.0
71030.0,200.0
71146.0,116.0
71346.0,200.0
71458.0,112.0
71658.0,200.0
71858.0,200.0
72058.0,200.0
72107.0,49.0
72307.0,200.0
72507.0,200.0
72591.0,84.0
72791.0,200.0
72882.0,91.0
73082.0,200.0
73282.0,200.0
73384.0,102.0
73584.0,200.0
73784.0,200.0
73821.0,37.0
73923.0,102.0
73938.0,15.0
74138.0,200.0
74338.0,200.0
74538.0,200.0
74738.0,200.0
74938.0,200.0
75138.0,200.0
75290.0,152.0
75490.0,200.0
75690.0,200.0
75890.0,200.0
75967.0,77.0
76149.0,182.0
76173.0,24.0
76310.0,137.0
76510.0,200.0
76710.0,200.0
76909.0,199.0
77109.0,200.0
77309.0,200.0
77509.0,200.0
77709.0,200.0
77831.0,122.0
78031.0,200.0
78231.0,200.0
78271.0,40.0
78285.0,14.0
78485.0,200.0
78685.0,200.0
78780.0,95.0
78980.0,200.0
79009.0,29.0
79160.0,151.0
79360.0,200.0
79451.0,91.0
79651.0,200.0
79851.0,200.0
79866.0,15.0
80066.0,200.0
80180.0,114.0
80380.0,200.0
80580.0,200.0
80780.0,200.0
80835.0,55.0
81035.0,200.0
81235.0,200.0
81360.0,125.0
81560.0,200.0
81760.0,200.0
81960.0,200.0
82160.0,200.0
82179.0,19.0
82329.0,150.0
82529.0,200.0
82729.0,200.0
82779.0,50.0
82822.0,43.0
83022.0,200.0
83222.0,200.0
83422.0,200.0
83622.0,200.0
83822.0,200.0
84022.0,200.0
84222.0,200.0
84386.0,164.0
84586.0,200.0
84692.0,106.0
84892.0,200.0
85050.0,158.0
85107.0,57.0
85307.0,200.0
85507.0,200.0
85707.0,200.0
85907.0,200.0
86107.0,200.0
86228.0,121.0
86240.0,12.0
86440.0,200.0
86618.0,178.0
86747.0,129.0
86947.0,200.0
87147.0,200.0
87347.0,200.0
87547.0,200.0
87602.0,55.0
87618.0,16.0
87630.0,12.0
87763.0,133.0
87963.0,200.0
88163.0,200.0
88363.0,200.0
88563.0,200.0
88763.0,200.0
88785.0,22.0
88985.0,200.0
89185.0,200.0
89297.0,112.0
89497.0,200.0
89517.0,20.0
89535.0,18.0
89735.0,200.0
89935.0,200.0
89991.0,56.0
90087.0,96.0
90287.0,200.0
90302.0,15.0
90502.0,200.0
90702.0,200.0
90876.0,174.0
91076.0,200.0
91153.0,77.0
91353.0,200.0
91547.0,194.0
91592.0,45.0
91792.0,200.0
91992.0,200.0
92192.0,200.0
92392.0,200.0
92490.0,98.0
92690.0,200.0
92890.0,200.0
93088.0,198.0
93288.0,200.0
93426.0,138.0
93626.0,200.0
93826.0,200.0
94026.0,200.0
94226.0,200.0
94426.0,200.0
94626.0,200.0
94826.0,200.0
94915.0,89.0
95078.0,163.0
95278.0,200.0
95478.0,200.0
95659.0,181.0
95806.0,147.0
95932.0,126.0
95944.0,12.0
96140.0,196.0
96153.0,13.0
96212.0,59.0
96412.0,200.0
96612.0,200.0
96812.0,200.0
97012.0,200.0
97212.0,200.0
97412.0,200.0
97612.0,200.0
97812.0,200.0
98012.0,200.0
98111.0,99.0
98311.0,200.0
98511.0,200.0
98711.0,200.0
98911.0,200.0
99111.0,200.0
99129.0,18.0
99329.0,200.0
99342.0,13.0
99542.0,200.0
99742.0,200.0
99942.0,200.0
100142.0,200.0
100342.0,200.0
100542.0,200.0
100742.0,200.0
100942.0,200.0
101113.0,171.0
101256.0,143.0
101275.0,19.0
101290.0,15.0
101466.0,176.0
101486.0,20.0
101670.0,184.0
101696.0,26.0
101717.0,21.0
101904.0,187.0
101922.0,18.0
102122.0,200.0
102274.0,152.0
102444.0,170.0
102608.0,164.0
102636.0,28.0
102795.0,159.0
102949.0,154.0
103117.0,168.0
103138.0,21.0
103332.0,194.0
103495.0,163.0
103613.0,118.0
103786.0,173.0
103929.0,143.0
104064.0,135.0
104077.0,13.0
104261.0,184.0
104426.0,165.0
104593.0,167.0
104731.0,138.0
104856.0,125.0
104986.0,130.0
105067.0,81.0
105093.0,26.0
105209.0,116.0
105313.0,104.0
105340.0,27.0
105361.0,21.0
105478.0,117.0
105587.0,109.0
105673.0,86.0
105722.0,49.0
105825.0,103.0
105944.0,119.0
106009.0,65.0
106111.0,102.0
106222.0,111.0
106309.0,87.0
106417.0,108.0
106524.0,107.0
106615.0,91.0
106650.0,35.0
106724.0,74.0
106794.0,70.0
106899.0,105.0
107027.0,128.0
107076.0,49.0
107195.0,119.0
107280.0,85.0
107296.0,16.0
107382.0,86.0
107511.0,129.0
107640.0,129.0
107749.0,109.0
107868.0,119.0
107948.0,80.0
108020.0,72.0
108122.0,102.0
108277.0,155.0
108437.0,160.0
108637.0,200.0
108837.0,200.0
108988.0,151.0
109175.0,187.0
109339.0,164.0
109348.0,9.0
109361.0,13.0
109474.0,113.0
109496.0,22.0
109610.0,114.0
109720.0,110.0
109857.0,137.0
109970.0,113.0
110079.0,109.0
110191.0,112.0
110202.0,11.0
110307.0,105.0
110331.0,24.0
110446.0,115.0
110570.0,124.0
110693.0,123.0
110793.0,100.0
110978.0,185.0
111093.0,115.0
111252.0,159.0
111418.0,166.0
111548.0,130.0
111694.0,146.0
111843.0,149.0
111979.0,136.0
112164.0,185.0
112364.0,200.0
112530.0,166.0
112547.0,17.0
112747.0,200.0
112792.0,45.0
112992.0,200.0
113159.0,167.0
113336.0,177.0
113536.0,200.0
113569.0,33.0
113760.0,191.0
113824.0,64.0
114024.0,200.0
114224.0,200.0
114424.0,200.0
114624.0,200.0
114824.0,200.0
115024.0,200.0
115224.0,200.0
115424.0,200.0
115624.0,200.0
