Network Size,Total Steps,Average Reward
Small (32-1),12791,10.0
Small (32-1),12814,23.0
Small (32-1),12826,12.0
Small (32-1),12842,16.0
Small (32-1),12856,14.0
Small (32-1),12873,17.0
Small (32-1),12886,13.0
Small (32-1),12895,9.0
Small (32-1),12910,15.0
Small (32-1),12920,10.0
Small (32-1),12938,18.0
Small (32-1),12948,10.0
Small (32-1),12979,31.0
Small (32-1),12995,16.0
Small (32-1),13005,10.0
Small (32-1),13017,12.0
Small (32-1),13040,23.0
Small (32-1),13052,12.0
Small (32-1),13063,11.0
Small (32-1),13077,14.0
Small (32-1),13087,10.0
Small (32-1),13104,17.0
Small (32-1),13126,22.0
Small (32-1),13136,10.0
Small (32-1),13154,18.0
Small (32-1),13169,15.0
Small (32-1),13179,10.0
Small (32-1),13191,12.0
Small (32-1),13205,14.0
Small (32-1),13214,9.0
Small (32-1),13226,12.0
Small (32-1),13243,17.0
Small (32-1),13256,13.0
Small (32-1),13267,11.0
Small (32-1),13277,10.0
Small (32-1),13288,11.0
Small (32-1),13300,12.0
Small (32-1),13311,11.0
Small (32-1),13336,25.0
Small (32-1),13346,10.0
Small (32-1),13358,12.0
Small (32-1),13368,10.0
Small (32-1),13381,13.0
Small (32-1),13392,11.0
Small (32-1),13413,21.0
Small (32-1),13428,15.0
Small (32-1),13438,10.0
Small (32-1),13457,19.0
Small (32-1),13468,11.0
Small (32-1),13486,18.0
Small (32-1),13498,12.0
Small (32-1),13511,13.0
Small (32-1),13523,12.0
Small (32-1),13536,13.0
Small (32-1),13550,14.0
Small (32-1),13560,10.0
Small (32-1),13572,12.0
Small (32-1),13581,9.0
Small (32-1),13593,12.0
Small (32-1),13607,14.0
Small (32-1),13626,19.0
Small (32-1),13637,11.0
Small (32-1),13649,12.0
Small (32-1),13661,12.0
Small (32-1),13678,17.0
Small (32-1),13689,11.0
Small (32-1),13704,15.0
Small (32-1),13714,10.0
Small (32-1),13745,31.0
Small (32-1),13761,16.0
Small (32-1),13783,22.0
Small (32-1),13803,20.0
Small (32-1),13813,10.0
Small (32-1),13824,11.0
Small (32-1),13837,13.0
Small (32-1),13859,22.0
Small (32-1),13880,21.0
Small (32-1),13891,11.0
Small (32-1),13902,11.0
Small (32-1),13914,12.0
Small (32-1),13927,13.0
Small (32-1),13938,11.0
Small (32-1),13950,12.0
Small (32-1),13962,12.0
Small (32-1),13977,15.0
Small (32-1),13989,12.0
Small (32-1),14002,13.0
Small (32-1),14014,12.0
Small (32-1),14025,11.0
Small (32-1),14039,14.0
Small (32-1),14053,14.0
Small (32-1),14064,11.0
Small (32-1),14088,24.0
Small (32-1),14100,12.0
Small (32-1),14123,23.0
Small (32-1),14134,11.0
Small (32-1),14150,16.0
Small (32-1),14179,29.0
Small (32-1),14237,58.0
Small (32-1),14290,53.0
Small (32-1),14347,57.0
Small (32-1),14389,42.0
Small (32-1),14410,21.0
Small (32-1),14429,19.0
Small (32-1),14441,12.0
Small (32-1),14454,13.0
Small (32-1),14466,12.0
Small (32-1),14482,16.0
Small (32-1),14493,11.0
Small (32-1),14502,9.0
Small (32-1),14512,10.0
Small (32-1),14523,11.0
Small (32-1),14534,11.0
Small (32-1),14556,22.0
Small (32-1),14569,13.0
Small (32-1),14591,22.0
Small (32-1),14604,13.0
Small (32-1),14614,10.0
Small (32-1),14628,14.0
Small (32-1),14638,10.0
Small (32-1),14652,14.0
Small (32-1),14668,16.0
Small (32-1),14698,30.0
Small (32-1),14709,11.0
Small (32-1),14720,11.0
Small (32-1),14731,11.0
Small (32-1),14744,13.0
Small (32-1),14757,13.0
Small (32-1),14780,23.0
Small (32-1),14797,17.0
Small (32-1),14810,13.0
Small (32-1),14822,12.0
Small (32-1),14834,12.0
Small (32-1),14844,10.0
Small (32-1),14852,8.0
Small (32-1),14863,11.0
Small (32-1),14873,10.0
Small (32-1),14882,9.0
Small (32-1),14898,16.0
Small (32-1),14911,13.0
Small (32-1),14930,19.0
Small (32-1),14964,34.0
Small (32-1),14986,22.0
Small (32-1),15003,17.0
Small (32-1),15015,12.0
Small (32-1),15025,10.0
Small (32-1),15041,16.0
Small (32-1),15056,15.0
Small (32-1),15065,9.0
Small (32-1),15074,9.0
Small (32-1),15090,16.0
Small (32-1),15100,10.0
Small (32-1),15109,9.0
Small (32-1),15122,13.0
Small (32-1),15134,12.0
Small (32-1),15145,11.0
Small (32-1),15154,9.0
Small (32-1),15166,12.0
Small (32-1),15176,10.0
Small (32-1),15187,11.0
Small (32-1),15196,9.0
Small (32-1),15209,13.0
Small (32-1),15220,11.0
Small (32-1),15230,10.0
Small (32-1),15242,12.0
Small (32-1),15256,14.0
Small (32-1),15272,16.0
Small (32-1),15301,29.0
Small (32-1),15318,17.0
Small (32-1),15330,12.0
Small (32-1),15341,11.0
Small (32-1),15353,12.0
Small (32-1),15364,11.0
Small (32-1),15378,14.0
Small (32-1),15388,10.0
Small (32-1),15402,14.0
Small (32-1),15413,11.0
Small (32-1),15422,9.0
Small (32-1),15433,11.0
Small (32-1),15445,12.0
Small (32-1),15454,9.0
Small (32-1),15464,10.0
Small (32-1),15476,12.0
Small (32-1),15489,13.0
Small (32-1),15498,9.0
Small (32-1),15511,13.0
Small (32-1),15525,14.0
Small (32-1),15538,13.0
Small (32-1),15548,10.0
Small (32-1),15558,10.0
Small (32-1),15570,12.0
Small (32-1),15579,9.0
Small (32-1),15592,13.0
Small (32-1),15605,13.0
Small (32-1),15614,9.0
Small (32-1),15622,8.0
Small (32-1),15633,11.0
Small (32-1),15646,13.0
Small (32-1),15664,18.0
Small (32-1),15675,11.0
Small (32-1),15686,11.0
Small (32-1),15696,10.0
Small (32-1),15707,11.0
Small (32-1),15740,33.0
Small (32-1),15752,12.0
Small (32-1),15761,9.0
Small (32-1),15776,15.0
Small (32-1),15789,13.0
Small (32-1),15797,8.0
Small (32-1),15811,14.0
Small (32-1),15829,18.0
Small (32-1),15839,10.0
Small (32-1),15854,15.0
Small (32-1),15866,12.0
Small (32-1),15887,21.0
Small (32-1),15897,10.0
Small (32-1),15910,13.0
Small (32-1),15927,17.0
Small (32-1),15943,16.0
Small (32-1),15952,9.0
Small (32-1),15964,12.0
Small (32-1),15973,9.0
Small (32-1),15985,12.0
Small (32-1),15998,13.0
Small (32-1),16010,12.0
Small (32-1),16026,16.0
Small (32-1),16038,12.0
Small (32-1),16057,19.0
Small (32-1),16076,19.0
Small (32-1),16088,12.0
Small (32-1),16106,18.0
Small (32-1),16123,17.0
Small (32-1),16140,17.0
Small (32-1),16155,15.0
Small (32-1),16173,18.0
Small (32-1),16186,13.0
Small (32-1),16201,15.0
Small (32-1),16216,15.0
Small (32-1),16226,10.0
Small (32-1),16248,22.0
Small (32-1),16259,11.0
Small (32-1),16269,10.0
Small (32-1),16283,14.0
Small (32-1),16294,11.0
Small (32-1),16309,15.0
Small (32-1),16321,12.0
Small (32-1),16337,16.0
Small (32-1),16353,16.0
Small (32-1),16373,20.0
Small (32-1),16414,41.0
Small (32-1),16426,12.0
Small (32-1),16438,12.0
Small (32-1),16464,26.0
Small (32-1),16478,14.0
Small (32-1),16490,12.0
Small (32-1),16500,10.0
Small (32-1),16515,15.0
Small (32-1),16535,20.0
Small (32-1),16543,8.0
Small (32-1),16557,14.0
Small (32-1),16572,15.0
Small (32-1),16589,17.0
Small (32-1),16606,17.0
Small (32-1),16622,16.0
Small (32-1),16643,21.0
Small (32-1),16653,10.0
Small (32-1),16667,14.0
Small (32-1),16678,11.0
Small (32-1),16690,12.0
Small (32-1),16703,13.0
Small (32-1),16720,17.0
Small (32-1),16731,11.0
Small (32-1),16741,10.0
Small (32-1),16750,9.0
Small (32-1),16765,15.0
Small (32-1),16778,13.0
Small (32-1),16795,17.0
Small (32-1),16807,12.0
Small (32-1),16816,9.0
Small (32-1),16827,11.0
Small (32-1),16839,12.0
Small (32-1),16849,10.0
Small (32-1),16860,11.0
Small (32-1),16872,12.0
Small (32-1),16881,9.0
Small (32-1),16893,12.0
Small (32-1),16904,11.0
Small (32-1),16919,15.0
Small (32-1),16932,13.0
Small (32-1),16942,10.0
Small (32-1),16954,12.0
Small (32-1),16963,9.0
Small (32-1),16974,11.0
Small (32-1),16986,12.0
Small (32-1),16998,12.0
Small (32-1),17013,15.0
Small (32-1),17022,9.0
Small (32-1),17033,11.0
Small (32-1),17044,11.0
Small (32-1),17060,16.0
Small (32-1),17068,8.0
Small (32-1),17079,11.0
Small (32-1),17087,8.0
Small (32-1),17097,10.0
Small (32-1),17124,27.0
Small (32-1),17135,11.0
Small (32-1),17143,8.0
Small (32-1),17170,27.0
Small (32-1),17185,15.0
Small (32-1),17197,12.0
Small (32-1),17208,11.0
Small (32-1),17225,17.0
Small (32-1),17237,12.0
Small (32-1),17259,22.0
Small (32-1),17273,14.0
Small (32-1),17285,12.0
Small (32-1),17301,16.0
Small (32-1),17314,13.0
Small (32-1),17326,12.0
Small (32-1),17335,9.0
Small (32-1),17344,9.0
Small (32-1),17354,10.0
Small (32-1),17362,8.0
Small (32-1),17374,12.0
Small (32-1),17383,9.0
Small (32-1),17395,12.0
Small (32-1),17407,12.0
Small (32-1),17416,9.0
Small (32-1),17426,10.0
Small (32-1),17438,12.0
Small (32-1),17452,14.0
Small (32-1),17464,12.0
Small (32-1),17477,13.0
Small (32-1),17488,11.0
Small (32-1),17496,8.0
Small (32-1),17509,13.0
Small (32-1),17519,10.0
Small (32-1),17530,11.0
Small (32-1),17538,8.0
Small (32-1),17553,15.0
Small (32-1),17565,12.0
